"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","x","strata","no","a",0.479166666666667,NA,0.334993251329358,0.623340082003976,NA,NA
"2","x","strata","yes","a",0.520833333333333,NA,0.376659917996024,0.665006748670642,NA,NA
"3","x","strata","no","b",0.520833333333333,NA,0.376659917996024,0.665006748670642,NA,NA
"4","x","strata","yes","b",0.479166666666667,NA,0.334993251329358,0.623340082003976,NA,NA
"5","x","strata","no","c",0.5,NA,0.332784160794174,0.667215839205826,NA,NA
"6","x","strata","yes","c",0.5,NA,0.332784160794174,0.667215839205826,NA,NA
"7","y","strata","no","a",0.542857142857143,NA,0.373202717659967,0.712511568054318,NA,NA
"8","y","strata","yes","a",0.457142857142857,NA,0.287488431945682,0.626797282340033,NA,NA
"9","y","strata","no","b",0.470588235294118,NA,0.298045666270147,0.643130804318088,NA,NA
"10","y","strata","yes","b",0.529411764705882,NA,0.356869195681912,0.701954333729853,NA,NA
"11","y","strata","no","c",0.555555555555556,NA,0.362037399330394,0.749073711780717,NA,NA
"12","y","strata","yes","c",0.444444444444444,NA,0.250926288219283,0.637962600669606,NA,NA
"13","x",NA,"no",NA,0.49895036195138,NA,0.361130801602481,0.636769922300279,NA,NA
"14","x",NA,"yes",NA,0.50104963804862,NA,0.363230077699721,0.638869198397519,NA,NA
"15","y",NA,"no",NA,0.548807319005508,NA,0.389833837792041,0.707780800218974,NA,NA
"16","y",NA,"yes",NA,0.451192680994492,NA,0.292219199781026,0.610166162207959,NA,NA
"dependent.var","z","NA","NA","NA",495.069571312303,NA,417.108411115906,573.030731508701,NA,NA
"dependent.var1","a","NA","NA","NA",557.633862745364,NA,428.810094529847,686.457630960882,NA,NA
